23.5,,A40001 - Sales Income (New),07-07-2025,35812,Fairfield Townplace East Hartford,July 25 Product revenue in SPS,,"$34,749.29"
24,A11001 - Accounts Receivable (New),,07-07-2025,37579/2,Fairfield Townplace East Hartford,July 25 Product revenue in SPS,$419.36,
24.5,,A40001 - Sales Income (New),07-07-2025,37579/2,Fairfield Townplace East Hartford,July 25 Product revenue in SPS,,$419.36
25,A11001 - Accounts Receivable (New),,07-07-2025,38235/4,Hampton Inn Nashville,July 25 Product revenue in SPS,"$4,176.01",
25.5,,A40001 - Sales Income (New),07-07-2025,38235/4,Hampton Inn Nashville,July 25 Product revenue in SPS,,"$4,176.01"
26,A11001 - Accounts Receivable (New),,07-07-2025,38382/3,Auburn Hospitality Group,July 25 Product revenue in SPS,$194.28,
26.5,,A40001 - Sales Income (New),07-07-2025,38382/3,Auburn Hospitality Group,July 25 Product revenue in SPS,,$194.28
27,A11001 - Accounts Receivable (New),,07-07-2025,38403/2,Auburn Hospitality Group,July 25 Product revenue in SPS,$0.00,
27.5,,A40001 - Sales Income (New),07-07-2025,38403/2,Auburn Hospitality Group,July 25 Product revenue in SPS,,$0.00
28,A11001 - Accounts Receivable (New),,07-07-2025,38403/3,Auburn Hospitality Group,July 25 Product revenue in SPS,$0.00,
28.5,,A40001 - Sales Income (New),07-07-2025,38403/3,Auburn Hospitality Group,July 25 Product revenue in SPS,,$0.00
29,A11001 - Accounts Receivable (New),,07-07-2025,38403/4,Auburn Hospitality Group,July 25 Product revenue in SPS,"$4,894.38",
29.5,,A40001 - Sales Income (New),07-07-2025,38403/4,Auburn Hospitality Group,July 25 Product revenue in SPS,,"$4,894.38"
30,A11001 - Accounts Receivable (New),,07-07-2025,38738,Auburn Hospitality Group,July 25 Product revenue in SPS,$0.00,
30.5,,A40001 - Sales Income (New),07-07-2025,38738,Auburn Hospitality Group,July 25 Product revenue in SPS,,$0.00
31,A11001 - Accounts Receivable (New),,08-07-2025,38187,LQ Hawthorne Leavenworth,July 25 Product revenue in SPS,"$10,341.06",
31.5,,A40001 - Sales Income (New),08-07-2025,38187,LQ Hawthorne Leavenworth,July 25 Product revenue in SPS,,"$10,341.06"
32,A11001 - Accounts Receivable (New),,08-07-2025,38196,LQ Hawthorne Leavenworth,July 25 Product revenue in SPS,"$22,465.59",
32.5,,A40001 - Sales Income (New),08-07-2025,38196,LQ Hawthorne Leavenworth,July 25 Product revenue in SPS,,"$22,465.59"
33,A11001 - Accounts Receivable (New),,08-07-2025,38394/3,Auburn Hospitality Group,July 25 Product revenue in SPS,"$6,359.54",
33.5,,A40001 - Sales Income (New),08-07-2025,38394/3,Auburn Hospitality Group,July 25 Product revenue in SPS,,"$6,359.54"
34,A11001 - Accounts Receivable (New),,08-07-2025,38396,Auburn Hospitality Group,July 25 Product revenue in SPS,$851.45,
34.5,,A40001 - Sales Income (New),08-07-2025,38396,Auburn Hospitality Group,July 25 Product revenue in SPS,,$851.45
35,A11001 - Accounts Receivable (New),,08-07-2025,38637,Hampton Inn Nashville,July 25 Product revenue in SPS,"$24,916.34",
35.5,,A40001 - Sales Income (New),08-07-2025,38637,Hampton Inn Nashville,July 25 Product revenue in SPS,,"$24,916.34"
36,A11001 - Accounts Receivable (New),,09-07-2025,35797/2,Fairfield Townplace East Hartford,July 25 Product revenue in SPS,"$60,472.41",
36.5,,A40001 - Sales Income (New),09-07-2025,35797/2,Fairfield Townplace East Hartford,July 25 Product revenue in SPS,,"$60,472.41"
37,A11001 - Accounts Receivable (New),,09-07-2025,35809/2,Fairfield Townplace East Hartford,July 25 Product revenue in SPS,"$56,713.20",
37.5,,A40001 - Sales Income (New),09-07-2025,35809/2,Fairfield Townplace East Hartford,July 25 Product revenue in SPS,,"$56,713.20"
38,A11001 - Accounts Receivable (New),,09-07-2025,37676/2,Ascent Residence inn Montgomery,July 25 Product revenue in SPS,"$2,10,339.71",
38.5,,A40001 - Sales Income (New),09-07-2025,37676/2,Ascent Residence inn Montgomery,July 25 Product revenue in SPS,,"$2,10,339.71"
39,A11001 - Accounts Receivable (New),,09-07-2025,37683/7,Ascent Residence inn Montgomery,July 25 Product revenue in SPS,$0.00,
39.5,,A40001 - Sales Income (New),09-07-2025,37683/7,Ascent Residence inn Montgomery,July 25 Product revenue in SPS,,$0.00
40,A11001 - Accounts Receivable (New),,10-07-2025,38525/2,Interior Dezyn,July 25 Product revenue in SPS,"$1,407.79",
40.5,,A40001 - Sales Income (New),10-07-2025,38525/2,Interior Dezyn,July 25 Product revenue in SPS,,"$1,407.79"
41,A11001 - Accounts Receivable (New),,11-07-2025,35431/7,"Jay Sun Hospitality LLC / La Quinta La Habra,CA",July 25 Product revenue in SPS,$0.00,
41.5,,A40001 - Sales Income (New),11-07-2025,35431/7,"Jay Sun Hospitality LLC / La Quinta La Habra,CA",July 25 Product revenue in SPS,,$0.00
42,A11001 - Accounts Receivable (New),,11-07-2025,36783/5,Ascent Home2 Montgomery,July 25 Product revenue in SPS,"$8,535.04",
42.5,,A40001 - Sales Income (New),11-07-2025,36783/5,Ascent Home2 Montgomery,July 25 Product revenue in SPS,,"$8,535.04"
43,A11001 - Accounts Receivable (New),,11-07-2025,37061/6,DFW Joseph Investments LLC,July 25 Product revenue in SPS,"$66,357.13",
43.5,,A40001 - Sales Income (New),11-07-2025,37061/6,DFW Joseph Investments LLC,July 25 Product revenue in SPS,,"$66,357.13"
44,A11001 - Accounts Receivable (New),,11-07-2025,37271/12,Northlake Innkeepers I Ltd.,July 25 Product revenue in SPS,"$2,292.51",
44.5,,A40001 - Sales Income (New),11-07-2025,37271/12,Northlake Innkeepers I Ltd.,July 25 Product revenue in SPS,,"$2,292.51"
45,A11001 - Accounts Receivable (New),,11-07-2025,37288/5,Northlake Innkeepers I Ltd.,July 25 Product revenue in SPS,"$2,334.51",
45.5,,A40001 - Sales Income (New),11-07-2025,37288/5,Northlake Innkeepers I Ltd.,July 25 Product revenue in SPS,,"$2,334.51"
46,A11001 - Accounts Receivable (New),,11-07-2025,37288/6,Northlake Innkeepers I Ltd.,July 25 Product revenue in SPS,"$1,212.00",
46.5,,A40001 - Sales Income (New),11-07-2025,37288/6,Northlake Innkeepers I Ltd.,July 25 Product revenue in SPS,,"$1,212.00"
47,A11001 - Accounts Receivable (New),,11-07-2025,37762/3,DFW Joseph Investments LLC,July 25 Product revenue in SPS,$0.00,
47.5,,A40001 - Sales Income (New),11-07-2025,37762/3,DFW Joseph Investments LLC,July 25 Product revenue in SPS,,$0.00
48,A11001 - Accounts Receivable (New),,14-07-2025,36569/2,Prince Preferred Hotels,July 25 Product revenue in SPS,"$5,237.20",
48.5,,A40001 - Sales Income (New),14-07-2025,36569/2,Prince Preferred Hotels,July 25 Product revenue in SPS,,"$5,237.20"
49,A11001 - Accounts Receivable (New),,14-07-2025,36576/2,Prince Preferred Hotels,July 25 Product revenue in SPS,"$18,562.18",
49.5,,A40001 - Sales Income (New),14-07-2025,36576/2,Prince Preferred Hotels,July 25 Product revenue in SPS,,"$18,562.18"
50,A11001 - Accounts Receivable (New),,14-07-2025,36580/2,Prince Preferred Hotels,July 25 Product revenue in SPS,$359.36,
50.5,,A40001 - Sales Income (New),14-07-2025,36580/2,Prince Preferred Hotels,July 25 Product revenue in SPS,,$359.36
51,A11001 - Accounts Receivable (New),,14-07-2025,36582/2,Prince Preferred Hotels,July 25 Product revenue in SPS,"$15,292.17",
51.5,,A40001 - Sales Income (New),14-07-2025,36582/2,Prince Preferred Hotels,July 25 Product revenue in SPS,,"$15,292.17"
52,A11001 - Accounts Receivable (New),,14-07-2025,36583/4,Prince Preferred Hotels,July 25 Product revenue in SPS,"$2,271.24",
52.5,,A40001 - Sales Income (New),14-07-2025,36583/4,Prince Preferred Hotels,July 25 Product revenue in SPS,,"$2,271.24"
53,A11001 - Accounts Receivable (New),,14-07-2025,38388/2,Auburn Hospitality Group,July 25 Product revenue in SPS,"$1,32,628.29",
53.5,,A40001 - Sales Income (New),14-07-2025,38388/2,Auburn Hospitality Group,July 25 Product revenue in SPS,,"$1,32,628.29"
54,A11001 - Accounts Receivable (New),,16-07-2025,38386/3,Auburn Hospitality Group,July 25 Product revenue in SPS,"$39,906.35",
54.5,,A40001 - Sales Income (New),16-07-2025,38386/3,Auburn Hospitality Group,July 25 Product revenue in SPS,,"$39,906.35"
55,A11001 - Accounts Receivable (New),,16-07-2025,38394/2,Auburn Hospitality Group,July 25 Product revenue in SPS,"$7,066.78",
55.5,,A40001 - Sales Income (New),16-07-2025,38394/2,Auburn Hospitality Group,July 25 Product revenue in SPS,,"$7,066.78"
56,A11001 - Accounts Receivable (New),,18-07-2025,38213/6,Hampton Inn Nashville,July 25 Product revenue in SPS,"$49,890.80",
56.5,,A40001 - Sales Income (New),18-07-2025,38213/6,Hampton Inn Nashville,July 25 Product revenue in SPS,,"$49,890.80"
57,A11001 - Accounts Receivable (New),,21-07-2025,36849/10,Imagine Porcelain Co. IPC.,July 25 Product revenue in SPS,"$1,980.00",
57.5,,A40001 - Sales Income (New),21-07-2025,36849/10,Imagine Porcelain Co. IPC.,July 25 Product revenue in SPS,,"$1,980.00"
58,A11001 - Accounts Receivable (New),,23-07-2025,37090/2,Ascent Home2 Montgomery,July 25 Product revenue in SPS,$0.00,
58.5,,A40001 - Sales Income (New),23-07-2025,37090/2,Ascent Home2 Montgomery,July 25 Product revenue in SPS,,$0.00
59,A11001 - Accounts Receivable (New),,24-07-2025,37678/6,Ascent Residence inn Montgomery,July 25 Product revenue in SPS,"$46,400.00",
59.5,,A40001 - Sales Income (New),24-07-2025,37678/6,Ascent Residence inn Montgomery,July 25 Product revenue in SPS,,"$46,400.00"
60,A11001 - Accounts Receivable (New),,25-07-2025,38301/3,Chesterfield Hospitality Inc.,July 25 Product revenue in SPS,"$10,327.25",
60.5,,A40001 - Sales Income (New),25-07-2025,38301/3,Chesterfield Hospitality Inc.,July 25 Product revenue in SPS,,"$10,327.25"
61,A11001 - Accounts Receivable (New),,25-07-2025,38304/2,Chesterfield Hospitality Inc.,July 25 Product revenue in SPS,"$1,994.68",
61.5,,A40001 - Sales Income (New),25-07-2025,38304/2,Chesterfield Hospitality Inc.,July 25 Product revenue in SPS,,"$1,994.68"
62,A11001 - Accounts Receivable (New),,25-07-2025,38332,"Residence Inn Pearland, TX",July 25 Product revenue in SPS,"$14,089.22",
62.5,,A40001 - Sales Income (New),25-07-2025,38332,"Residence Inn Pearland, TX",July 25 Product revenue in SPS,,"$14,089.22"
63,A11001 - Accounts Receivable (New),,26-07-2025,38299/2,Chesterfield Hospitality Inc.,July 25 Product revenue in SPS,"$3,435.28",
63.5,,A40001 - Sales Income (New),26-07-2025,38299/2,Chesterfield Hospitality Inc.,July 25 Product revenue in SPS,,"$3,435.28"
64,A11001 - Accounts Receivable (New),,26-07-2025,38305/4,Chesterfield Hospitality Inc.,July 25 Product revenue in SPS,"$15,808.25",
64.5,,A40001 - Sales Income (New),26-07-2025,38305/4,Chesterfield Hospitality Inc.,July 25 Product revenue in SPS,,"$15,808.25"
65,A11001 - Accounts Receivable (New),,26-07-2025,38305/6,Chesterfield Hospitality Inc.,July 25 Product revenue in SPS,$210.00,
65.5,,A40001 - Sales Income (New),26-07-2025,38305/6,Chesterfield Hospitality Inc.,July 25 Product revenue in SPS,,$210.00
66,A11001 - Accounts Receivable (New),,26-07-2025,38325/5,"Residence Inn Pearland, TX",July 25 Product revenue in SPS,"$2,402.16",
66.5,,A40001 - Sales Income (New),26-07-2025,38325/5,"Residence Inn Pearland, TX",July 25 Product revenue in SPS,,"$2,402.16"
67,A11001 - Accounts Receivable (New),,28-07-2025,38516/2,RENFROW DECORATIVE CENTER,July 25 Product revenue in SPS,"-$1,550.00",
67.5,,A40001 - Sales Income (New),28-07-2025,38516/2,RENFROW DECORATIVE CENTER,July 25 Product revenue in SPS,,"-$1,550.00"
68,A11001 - Accounts Receivable (New),,30-07-2025,34035/3,Hampton Inn Rosenberg,July 25 Product revenue in SPS,"$1,421.04",
68.5,,A40001 - Sales Income (New),30-07-2025,34035/3,Hampton Inn Rosenberg,July 25 Product revenue in SPS,,"$1,421.04"
69,A11001 - Accounts Receivable (New),,30-07-2025,36567/5,Prince Preferred Hotels,July 25 Product revenue in SPS,"$1,020.00",
69.5,,A40001 - Sales Income (New),30-07-2025,36567/5,Prince Preferred Hotels,July 25 Product revenue in SPS,,"$1,020.00"
70,A11001 - Accounts Receivable (New),,30-07-2025,36568/2,Prince Preferred Hotels,July 25 Product revenue in SPS,$142.98,
70.5,,A40001 - Sales Income (New),30-07-2025,36568/2,Prince Preferred Hotels,July 25 Product revenue in SPS,,$142.98
71,A11001 - Accounts Receivable (New),,30-07-2025,36569/3,Prince Preferred Hotels,July 25 Product revenue in SPS,"$14,690.13",
71.5,,A40001 - Sales Income (New),30-07-2025,36569/3,Prince Preferred Hotels,July 25 Product revenue in SPS,,"$14,690.13"
72,A11001 - Accounts Receivable (New),,30-07-2025,36570,Prince Preferred Hotels,July 25 Product revenue in SPS,"$32,053.93",
72.5,,A40001 - Sales Income (New),30-07-2025,36570,Prince Preferred Hotels,July 25 Product revenue in SPS,,"$32,053.93"
73,A11001 - Accounts Receivable (New),,30-07-2025,36578/2,Prince Preferred Hotels,July 25 Product revenue in SPS,"$4,490.03",
73.5,,A40001 - Sales Income (New),30-07-2025,36578/2,Prince Preferred Hotels,July 25 Product revenue in SPS,,"$4,490.03"
74,A11001 - Accounts Receivable (New),,30-07-2025,36580/3,Prince Preferred Hotels,July 25 Product revenue in SPS,"$1,557.68",
74.5,,A40001 - Sales Income (New),30-07-2025,36580/3,Prince Preferred Hotels,July 25 Product revenue in SPS,,"$1,557.68"
75,A11001 - Accounts Receivable (New),,30-07-2025,36581,Prince Preferred Hotels,July 25 Product revenue in SPS,"$3,054.29",
75.5,,A40001 - Sales Income (New),30-07-2025,36581,Prince Preferred Hotels,July 25 Product revenue in SPS,,"$3,054.29"
76,A11001 - Accounts Receivable (New),,30-07-2025,36583/5,Prince Preferred Hotels,July 25 Product revenue in SPS,"$3,844.80",
76.5,,A40001 - Sales Income (New),30-07-2025,36583/5,Prince Preferred Hotels,July 25 Product revenue in SPS,,"$3,844.80"
77,A11001 - Accounts Receivable (New),,30-07-2025,37977/5,Hampton Inn Rosenberg,July 25 Product revenue in SPS,$835.71,
77.5,,A40001 - Sales Income (New),30-07-2025,37977/5,Hampton Inn Rosenberg,July 25 Product revenue in SPS,,$835.71
78,A11001 - Accounts Receivable (New),,30-07-2025,38235/5,Hampton Inn Nashville,July 25 Product revenue in SPS,"$30,480.13",
78.5,,A40001 - Sales Income (New),30-07-2025,38235/5,Hampton Inn Nashville,July 25 Product revenue in SPS,,"$30,480.13"
79,A11001 - Accounts Receivable (New),,31-07-2025,35228/10,"La Quinta - Chelsea,AL",July 25 Product revenue in SPS,"$6,224.00",
79.5,,A40001 - Sales Income (New),31-07-2025,35228/10,"La Quinta - Chelsea,AL",July 25 Product revenue in SPS,,"$6,224.00"
80,A11001 - Accounts Receivable (New),,31-07-2025,35801,Fairfield Townplace East Hartford,July 25 Product revenue in SPS,"$54,642.01",
80.5,,A40001 - Sales Income (New),31-07-2025,35801,Fairfield Townplace East Hartford,July 25 Product revenue in SPS,,"$54,642.01"
81,A11001 - Accounts Receivable (New),,31-07-2025,35805,Fairfield Townplace East Hartford,July 25 Product revenue in SPS,"$66,666.91",
81.5,,A40001 - Sales Income (New),31-07-2025,35805,Fairfield Townplace East Hartford,July 25 Product revenue in SPS,,"$66,666.91"
82,A11001 - Accounts Receivable (New),,31-07-2025,36579/3,Prince Preferred Hotels,July 25 Product revenue in SPS,"$2,467.50",
82.5,,A40001 - Sales Income (New),31-07-2025,36579/3,Prince Preferred Hotels,July 25 Product revenue in SPS,,"$2,467.50"
83,A11001 - Accounts Receivable (New),,31-07-2025,36729,"ELEMENT FORTSMITH, ARKANSAS",July 25 Product revenue in SPS,"$2,634.29",
83.5,,A40001 - Sales Income (New),31-07-2025,36729,"ELEMENT FORTSMITH, ARKANSAS",July 25 Product revenue in SPS,,"$2,634.29"
84,A11001 - Accounts Receivable (New),,31-07-2025,36758/3,La Quinta Athens Alabama,July 25 Product revenue in SPS,$661.82,
84.5,,A40001 - Sales Income (New),31-07-2025,36758/3,La Quinta Athens Alabama,July 25 Product revenue in SPS,,$661.82
85,A11001 - Accounts Receivable (New),,31-07-2025,36766/3,La Quinta Athens Alabama,July 25 Product revenue in SPS,"$8,545.64",
85.5,,A40001 - Sales Income (New),31-07-2025,36766/3,La Quinta Athens Alabama,July 25 Product revenue in SPS,,"$8,545.64"
86,A11001 - Accounts Receivable (New),,31-07-2025,36920/4,AUTOGRAPH MAYA-PS,July 25 Product revenue in SPS,"$75,546.24",
86.5,,A40001 - Sales Income (New),31-07-2025,36920/4,AUTOGRAPH MAYA-PS,July 25 Product revenue in SPS,,"$75,546.24"
87,A11001 - Accounts Receivable (New),,31-07-2025,37239,Fairfield Townplace East Hartford,July 25 Product revenue in SPS,$0.00,
87.5,,A40001 - Sales Income (New),31-07-2025,37239,Fairfield Townplace East Hartford,July 25 Product revenue in SPS,,$0.00
88,A11001 - Accounts Receivable (New),,31-07-2025,37283,La Quinta Athens Alabama,July 25 Product revenue in SPS,$0.00,
88.5,,A40001 - Sales Income (New),31-07-2025,37283,La Quinta Athens Alabama,July 25 Product revenue in SPS,,$0.00
89,A11001 - Accounts Receivable (New),,31-07-2025,37369,AFP 108 Corp.,July 25 Product revenue in SPS,$527.92,
89.5,,A40001 - Sales Income (New),31-07-2025,37369,AFP 108 Corp.,July 25 Product revenue in SPS,,$527.92
90,A11001 - Accounts Receivable (New),,31-07-2025,37412/4,Ascent Hospitality Element Carmel Indiana,July 25 Product revenue in SPS,$0.00,
90.5,,A40001 - Sales Income (New),31-07-2025,37412/4,Ascent Hospitality Element Carmel Indiana,July 25 Product revenue in SPS,,$0.00
91,A11001 - Accounts Receivable (New),,31-07-2025,37682,Ascent Residence inn Montgomery,July 25 Product revenue in SPS,"$50,982.97",
91.5,,A40001 - Sales Income (New),31-07-2025,37682,Ascent Residence inn Montgomery,July 25 Product revenue in SPS,,"$50,982.97"
92,A11001 - Accounts Receivable (New),,31-07-2025,37759/4,"ELEMENT FORTSMITH, ARKANSAS",July 25 Product revenue in SPS,$0.00,
92.5,,A40001 - Sales Income (New),31-07-2025,37759/4,"ELEMENT FORTSMITH, ARKANSAS",July 25 Product revenue in SPS,,$0.00
93,A11001 - Accounts Receivable (New),,31-07-2025,38357/2,Ascent Hospitality- Autograph Huntsville,July 25 Product revenue in SPS,"$82,308.68",
93.5,,A40001 - Sales Income (New),31-07-2025,38357/2,Ascent Hospitality- Autograph Huntsville,July 25 Product revenue in SPS,,"$82,308.68"
94,A11001 - Accounts Receivable (New),,31-07-2025,38361/2,Ascent Hospitality- Autograph Huntsville,July 25 Product revenue in SPS,"$14,44,188.49",
94.5,,A40001 - Sales Income (New),31-07-2025,38361/2,Ascent Hospitality- Autograph Huntsville,July 25 Product revenue in SPS,,"$14,44,188.49"
95,A11001 - Accounts Receivable (New),,31-07-2025,38362,Ascent Hospitality- Autograph Huntsville,July 25 Product revenue in SPS,"$1,84,356.52",
95.5,,A40001 - Sales Income (New),31-07-2025,38362,Ascent Hospitality- Autograph Huntsville,July 25 Product revenue in SPS,,"$1,84,356.52"
96,A11001 - Accounts Receivable (New),,31-07-2025,38362/2,Ascent Hospitality- Autograph Huntsville,July 25 Product revenue in SPS,"$65,372.56",
96.5,,A40001 - Sales Income (New),31-07-2025,38362/2,Ascent Hospitality- Autograph Huntsville,July 25 Product revenue in SPS,,"$65,372.56"
97,A11001 - Accounts Receivable (New),,31-07-2025,38363/2,Ascent Hospitality- Autograph Huntsville,July 25 Product revenue in SPS,"$88,431.10",
97.5,,A40001 - Sales Income (New),31-07-2025,38363/2,Ascent Hospitality- Autograph Huntsville,July 25 Product revenue in SPS,,"$88,431.10"
98,A11001 - Accounts Receivable (New),,31-07-2025,38365/8,Ascent Hospitality- Autograph Huntsville,July 25 Product revenue in SPS,$0.00,
98.5,,A40001 - Sales Income (New),31-07-2025,38365/8,Ascent Hospitality- Autograph Huntsville,July 25 Product revenue in SPS,,$0.00
99,A11001 - Accounts Receivable (New),,31-07-2025,38368/3,Ascent Hospitality- Autograph Huntsville,July 25 Product revenue in SPS,"$44,144.76",
99.5,,A40001 - Sales Income (New),31-07-2025,38368/3,Ascent Hospitality- Autograph Huntsville,July 25 Product revenue in SPS,,"$44,144.76"
100,A11001 - Accounts Receivable (New),,31-07-2025,38384,Auburn Hospitality Group,July 25 Product revenue in SPS,"$11,929.05",
100.5,,A40001 - Sales Income (New),31-07-2025,38384,Auburn Hospitality Group,July 25 Product revenue in SPS,,"$11,929.05"
101,A11001 - Accounts Receivable (New),,31-07-2025,38386/5,Auburn Hospitality Group,July 25 Product revenue in SPS,"$19,733.67",
101.5,,A40001 - Sales Income (New),31-07-2025,38386/5,Auburn Hospitality Group,July 25 Product revenue in SPS,,"$19,733.67"
102,A11001 - Accounts Receivable (New),,31-07-2025,38400,Auburn Hospitality Group,July 25 Product revenue in SPS,"$22,091.87",
102.5,,A40001 - Sales Income (New),31-07-2025,38400,Auburn Hospitality Group,July 25 Product revenue in SPS,,"$22,091.87"
103,A11001 - Accounts Receivable (New),,31-07-2025,38623,Trylon LLC/ RJ Construction LTD,July 25 Product revenue in SPS,"$4,720.00",
