External ID,No,Account#,Account ID,Account #,Date,Entity,Entity ID,Invoice #,Memo,Debit Amt,Credit Amt,
AUGCOGS-24JSF04101,1025,A51001 - Freight - Out - Expense (New),981,,08-06-2025,"Jasfer Industry Co., Limited",137,24JSF04101,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",93,,
AUGCOGS-24JSF04101,1025.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-06-2025,"Jasfer Industry Co., Limited",137,24JSF04101,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",,93,
AUGCOGS-24JSF04102,1026,A51001 - Freight - Out - Expense (New),981,,08-06-2025,"Jasfer Industry Co., Limited",137,24JSF04102,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",93,,
AUGCOGS-24JSF04102,1026.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-06-2025,"Jasfer Industry Co., Limited",137,24JSF04102,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",,93,
AUGCOGS-24JSF04103,1027,A51001 - Freight - Out - Expense (New),981,,08-06-2025,"Jasfer Industry Co., Limited",137,24JSF04103,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",93,,
AUGCOGS-24JSF04103,1027.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-06-2025,"Jasfer Industry Co., Limited",137,24JSF04103,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",,93,
AUGCOGS-GV038,1028,A51001 - Freight - Out - Expense (New),981,,08-06-2025,Richwood Hospitality Co. LTD,1285,GV038,Richwood Hospitality Co. LTD - Aug  material cost transferred from sps,89,,
AUGCOGS-GV038,1028.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-06-2025,Richwood Hospitality Co. LTD,1285,GV038,Richwood Hospitality Co. LTD - Aug  material cost transferred from sps,,89,
AUGCOGS-SR411-11,1029,A51001 - Freight - Out - Expense (New),981,,08-06-2025,Richwood Hospitality Co. LTD,1285,SR411-11,Richwood Hospitality Co. LTD - Aug  material cost transferred from sps,89,,
AUGCOGS-SR411-11,1029.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-06-2025,Richwood Hospitality Co. LTD,1285,SR411-11,Richwood Hospitality Co. LTD - Aug  material cost transferred from sps,,89,
AUGCOGS-24JS090901,1030,A51001 - Freight - Out - Expense (New),981,,08-06-2025,"Jasfer Industry Co., Limited",137,24JS090901,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",79,,
AUGCOGS-24JS090901,1030.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-06-2025,"Jasfer Industry Co., Limited",137,24JS090901,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",,79,
AUGCOGS-SR253-3P3,1031,A51001 - Freight - Out - Expense (New),981,,08-06-2025,Richwood Hospitality Co. LTD,1285,SR253-3P3,Richwood Hospitality Co. LTD - Aug  material cost transferred from sps,89,,
AUGCOGS-SR253-3P3,1031.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-06-2025,Richwood Hospitality Co. LTD,1285,SR253-3P3,Richwood Hospitality Co. LTD - Aug  material cost transferred from sps,,89,
AUGCOGS-24RT070901,1032,A51001 - Freight - Out - Expense (New),981,,08-06-2025,"Jasfer Industry Co., Limited",137,24RT070901,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",79,,
AUGCOGS-24RT070901,1032.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-06-2025,"Jasfer Industry Co., Limited",137,24RT070901,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",,79,
AUGCOGS-SR273-44,1033,A51001 - Freight - Out - Expense (New),981,,08-06-2025,Richwood Hospitality Co. LTD,1285,SR273-44,Richwood Hospitality Co. LTD - Aug  material cost transferred from sps,163,,
AUGCOGS-SR273-44,1033.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-06-2025,Richwood Hospitality Co. LTD,1285,SR273-44,Richwood Hospitality Co. LTD - Aug  material cost transferred from sps,,163,
AUGCOGS-SR395-3P2,1034,A51001 - Freight - Out - Expense (New),981,,08-06-2025,Richwood Hospitality Co. LTD,1285,SR395-3P2,Richwood Hospitality Co. LTD - Aug  material cost transferred from sps,110,,
AUGCOGS-SR395-3P2,1034.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-06-2025,Richwood Hospitality Co. LTD,1285,SR395-3P2,Richwood Hospitality Co. LTD - Aug  material cost transferred from sps,,110,
AUGCOGS-SR411-11P3,1035,A51001 - Freight - Out - Expense (New),981,,08-06-2025,Richwood Hospitality Co. LTD,1285,SR411-11P3,Richwood Hospitality Co. LTD - Aug  material cost transferred from sps,89,,
AUGCOGS-SR411-11P3,1035.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-06-2025,Richwood Hospitality Co. LTD,1285,SR411-11P3,Richwood Hospitality Co. LTD - Aug  material cost transferred from sps,,89,
AUGCOGS-SR407-9,1036,A51001 - Freight - Out - Expense (New),981,,08-06-2025,Richwood Hospitality Co. LTD,1285,SR407-9,Richwood Hospitality Co. LTD - Aug  material cost transferred from sps,833,,
AUGCOGS-SR407-9,1036.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-06-2025,Richwood Hospitality Co. LTD,1285,SR407-9,Richwood Hospitality Co. LTD - Aug  material cost transferred from sps,,833,
AUGCOGS-24BL101809,1037,A51001 - Freight - Out - Expense (New),981,,08-06-2025,"Jasfer Industry Co., Limited",137,24BL101809,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",64,,
AUGCOGS-24BL101809,1037.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-06-2025,"Jasfer Industry Co., Limited",137,24BL101809,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",,64,
AUGCOGS-24JS121102,1038,A51001 - Freight - Out - Expense (New),981,,08-06-2025,"Jasfer Industry Co., Limited",137,24JS121102,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",117,,
AUGCOGS-24JS121102,1038.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-06-2025,"Jasfer Industry Co., Limited",137,24JS121102,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",,117,
AUGCOGS-24BL102904,1039,A51001 - Freight - Out - Expense (New),981,,08-06-2025,"Jasfer Industry Co., Limited",137,24BL102904,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",154,,
AUGCOGS-24BL102904,1039.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-06-2025,"Jasfer Industry Co., Limited",137,24BL102904,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",,154,
AUGCOGS-SR297-10,1040,A51001 - Freight - Out - Expense (New),981,,08-06-2025,Richwood Hospitality Co. LTD,1285,SR297-10,Richwood Hospitality Co. LTD - Aug  material cost transferred from sps,89,,
AUGCOGS-SR297-10,1040.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-06-2025,Richwood Hospitality Co. LTD,1285,SR297-10,Richwood Hospitality Co. LTD - Aug  material cost transferred from sps,,89,
AUGCOGS-SR297-9,1041,A51001 - Freight - Out - Expense (New),981,,08-06-2025,Richwood Hospitality Co. LTD,1285,SR297-9,Richwood Hospitality Co. LTD - Aug  material cost transferred from sps,89,,
AUGCOGS-SR297-9,1041.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-06-2025,Richwood Hospitality Co. LTD,1285,SR297-9,Richwood Hospitality Co. LTD - Aug  material cost transferred from sps,,89,
AUGCOGS-SR297-11,1042,A51001 - Freight - Out - Expense (New),981,,08-06-2025,Richwood Hospitality Co. LTD,1285,SR297-11,Richwood Hospitality Co. LTD - Aug  material cost transferred from sps,105,,
AUGCOGS-SR297-11,1042.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-06-2025,Richwood Hospitality Co. LTD,1285,SR297-11,Richwood Hospitality Co. LTD - Aug  material cost transferred from sps,,105,
AUGCOGS-SR273-12P2,1043,A51001 - Freight - Out - Expense (New),981,,08-06-2025,Richwood Hospitality Co. LTD,1285,SR273-12P2,Richwood Hospitality Co. LTD - Aug  material cost transferred from sps,89,,
AUGCOGS-SR273-12P2,1043.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-06-2025,Richwood Hospitality Co. LTD,1285,SR273-12P2,Richwood Hospitality Co. LTD - Aug  material cost transferred from sps,,89,
AUGCOGS-24JS110502,1044,A51001 - Freight - Out - Expense (New),981,,08-06-2025,"Jasfer Industry Co., Limited",137,24JS110502,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",78,,
AUGCOGS-24JS110502,1044.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-06-2025,"Jasfer Industry Co., Limited",137,24JS110502,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",,78,
AUGCOGS-SR350-8,1045,A51001 - Freight - Out - Expense (New),981,,08-06-2025,Richwood Hospitality Co. LTD,1285,SR350-8,Richwood Hospitality Co. LTD - Aug  material cost transferred from sps,178,,
AUGCOGS-SR350-8,1045.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-06-2025,Richwood Hospitality Co. LTD,1285,SR350-8,Richwood Hospitality Co. LTD - Aug  material cost transferred from sps,,178,
AUGCOGS-24JS101706,1046,A51001 - Freight - Out - Expense (New),981,,08-06-2025,"Jasfer Industry Co., Limited",137,24JS101706,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",216.7,,
AUGCOGS-24JS101706,1046.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-06-2025,"Jasfer Industry Co., Limited",137,24JS101706,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",,216.7,
AUGCOGS-24JSF11005,1047,A51001 - Freight - Out - Expense (New),981,,08-06-2025,"Jasfer Industry Co., Limited",137,24JSF11005,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",266,,
AUGCOGS-24JSF11005,1047.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-06-2025,"Jasfer Industry Co., Limited",137,24JSF11005,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",,266,
AUGCOGS-24JS110106,1048,A51001 - Freight - Out - Expense (New),981,,08-06-2025,"Jasfer Industry Co., Limited",137,24JS110106,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",210,,
AUGCOGS-24JS110106,1048.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-06-2025,"Jasfer Industry Co., Limited",137,24JS110106,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",,210,
AUGCOGS-24JS110401,1049,A51001 - Freight - Out - Expense (New),981,,08-06-2025,"Jasfer Industry Co., Limited",137,24JS110401,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",1568,,
AUGCOGS-24JS110401,1049.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-06-2025,"Jasfer Industry Co., Limited",137,24JS110401,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",,1568,
AUGCOGS-24BL111108,1050,A51001 - Freight - Out - Expense (New),981,,08-06-2025,"Jasfer Industry Co., Limited",137,24BL111108,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",111,,
AUGCOGS-24BL111108,1050.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-06-2025,"Jasfer Industry Co., Limited",137,24BL111108,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",,111,
AUGCOGS-24JS110708,1051,A51001 - Freight - Out - Expense (New),981,,08-06-2025,"Jasfer Industry Co., Limited",137,24JS110708,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",298,,
AUGCOGS-24JS110708,1051.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-06-2025,"Jasfer Industry Co., Limited",137,24JS110708,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",,298,
AUGCOGS-24JSF09055,1052,A51001 - Freight - Out - Expense (New),981,,08-06-2025,"Jasfer Industry Co., Limited",137,24JSF09055,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",3687.1,,
AUGCOGS-24JSF09055,1052.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-06-2025,"Jasfer Industry Co., Limited",137,24JSF09055,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",,3687.1,
AUGCOGS-24JSF11006,1053,A51001 - Freight - Out - Expense (New),981,,08-06-2025,"Jasfer Industry Co., Limited",137,24JSF11006,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",159,,
AUGCOGS-24JSF11006,1053.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-06-2025,"Jasfer Industry Co., Limited",137,24JSF11006,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",,159,
AUGCOGS-GV047,1054,A51001 - Freight - Out - Expense (New),981,,08-06-2025,Richwood Hospitality Co. LTD,1285,GV047,Richwood Hospitality Co. LTD - Aug  material cost transferred from sps,3123,,
AUGCOGS-GV047,1054.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-06-2025,Richwood Hospitality Co. LTD,1285,GV047,Richwood Hospitality Co. LTD - Aug  material cost transferred from sps,,3123,
AUGCOGS-24BL110405,1055,A51001 - Freight - Out - Expense (New),981,,08-06-2025,"Jasfer Industry Co., Limited",137,24BL110405,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",86,,
AUGCOGS-24BL110405,1055.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-06-2025,"Jasfer Industry Co., Limited",137,24BL110405,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",,86,
AUGCOGS-24BL110402,1056,A51001 - Freight - Out - Expense (New),981,,08-06-2025,"Jasfer Industry Co., Limited",137,24BL110402,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",64,,
AUGCOGS-24BL110402,1056.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-06-2025,"Jasfer Industry Co., Limited",137,24BL110402,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",,64,
AUGCOGS-20250213,1057,A51001 - Freight - Out - Expense (New),981,,08-06-2025,An Cuong Wood-Working,1542,20250213,An Cuong Wood-Working - Aug  material cost transferred from sps,2100,,
AUGCOGS-20250213,1057.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-06-2025,An Cuong Wood-Working,1542,20250213,An Cuong Wood-Working - Aug  material cost transferred from sps,,2100,
AUGCOGS-24BL110706,1058,A51001 - Freight - Out - Expense (New),981,,08-06-2025,"Jasfer Industry Co., Limited",137,24BL110706,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",86,,
AUGCOGS-24BL110706,1058.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-06-2025,"Jasfer Industry Co., Limited",137,24BL110706,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",,86,
AUGCOGS-SR273-48,1059,A51001 - Freight - Out - Expense (New),981,,08-06-2025,Richwood Hospitality Co. LTD,1285,SR273-48,Richwood Hospitality Co. LTD - Aug  material cost transferred from sps,89,,
AUGCOGS-SR273-48,1059.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-06-2025,Richwood Hospitality Co. LTD,1285,SR273-48,Richwood Hospitality Co. LTD - Aug  material cost transferred from sps,,89,
AUGCOGS-SR393-10,1060,A51001 - Freight - Out - Expense (New),981,,08-06-2025,Richwood Hospitality Co. LTD,1285,SR393-10,Richwood Hospitality Co. LTD - Aug  material cost transferred from sps,685,,
AUGCOGS-SR393-10,1060.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-06-2025,Richwood Hospitality Co. LTD,1285,SR393-10,Richwood Hospitality Co. LTD - Aug  material cost transferred from sps,,685,
AUGCOGS-24JSF05101,1061,A51001 - Freight - Out - Expense (New),981,,08-06-2025,"Jasfer Industry Co., Limited",137,24JSF05101,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",131.42,,
AUGCOGS-24JSF05101,1061.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-06-2025,"Jasfer Industry Co., Limited",137,24JSF05101,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",,131.42,
AUGCOGS-24JS120208,1062,A51001 - Freight - Out - Expense (New),981,,08-06-2025,"Jasfer Industry Co., Limited",137,24JS120208,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",78,,
AUGCOGS-24JS120208,1062.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-06-2025,"Jasfer Industry Co., Limited",137,24JS120208,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",,78,
AUGCOGS-24JS120207,1063,A51001 - Freight - Out - Expense (New),981,,08-06-2025,"Jasfer Industry Co., Limited",137,24JS120207,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",78,,
AUGCOGS-24JS120207,1063.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-06-2025,"Jasfer Industry Co., Limited",137,24JS120207,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",,78,
AUGCOGS-24JS112001,1064,A51001 - Freight - Out - Expense (New),981,,08-06-2025,"Jasfer Industry Co., Limited",137,24JS112001,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",203,,
AUGCOGS-24JS112001,1064.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-06-2025,"Jasfer Industry Co., Limited",137,24JS112001,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",,203,
AUGCOGS-24BL111305,1065,A51001 - Freight - Out - Expense (New),981,,08-06-2025,"Jasfer Industry Co., Limited",137,24BL111305,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",203,,
AUGCOGS-24BL111305,1065.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-06-2025,"Jasfer Industry Co., Limited",137,24BL111305,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",,203,
AUGCOGS-24JSF07078,1066,A51001 - Freight - Out - Expense (New),981,,08-06-2025,"Jasfer Industry Co., Limited",137,24JSF07078,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",406,,
AUGCOGS-24JSF07078,1066.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-06-2025,"Jasfer Industry Co., Limited",137,24JSF07078,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",,406,
AUGCOGS-24BL111405,1067,A51001 - Freight - Out - Expense (New),981,,08-06-2025,"Jasfer Industry Co., Limited",137,24BL111405,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",246.19,,
AUGCOGS-24BL111405,1067.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-06-2025,"Jasfer Industry Co., Limited",137,24BL111405,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",,246.19,
AUGCOGS-24BL111406,1068,A51001 - Freight - Out - Expense (New),981,,08-06-2025,"Jasfer Industry Co., Limited",137,24BL111406,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",221,,
AUGCOGS-24BL111406,1068.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-06-2025,"Jasfer Industry Co., Limited",137,24BL111406,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",,221,
AUGCOGS-24JS111306,1069,A51001 - Freight - Out - Expense (New),981,,08-06-2025,"Jasfer Industry Co., Limited",137,24JS111306,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",610,,
AUGCOGS-24JS111306,1069.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-06-2025,"Jasfer Industry Co., Limited",137,24JS111306,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",,610,
AUGCOGS-SR350-9,1070,A51001 - Freight - Out - Expense (New),981,,08-06-2025,Richwood Hospitality Co. LTD,1285,SR350-9,Richwood Hospitality Co. LTD - Aug  material cost transferred from sps,324,,
AUGCOGS-SR350-9,1070.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-06-2025,Richwood Hospitality Co. LTD,1285,SR350-9,Richwood Hospitality Co. LTD - Aug  material cost transferred from sps,,324,
AUGCOGS-SR307-3,1071,A51001 - Freight - Out - Expense (New),981,,08-06-2025,Richwood Hospitality Co. LTD,1285,SR307-3,Richwood Hospitality Co. LTD - Aug  material cost transferred from sps,110,,
AUGCOGS-SR307-3,1071.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-06-2025,Richwood Hospitality Co. LTD,1285,SR307-3,Richwood Hospitality Co. LTD - Aug  material cost transferred from sps,,110,
AUGCOGS-24JS111906,1072,A51001 - Freight - Out - Expense (New),981,,08-06-2025,"Jasfer Industry Co., Limited",137,24JS111906,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",39,,
AUGCOGS-24JS111906,1072.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-06-2025,"Jasfer Industry Co., Limited",137,24JS111906,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",,39,
AUGCOGS-24BL071801,1073,A51001 - Freight - Out - Expense (New),981,,08-06-2025,"Jasfer Industry Co., Limited",137,24BL071801,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",38,,
AUGCOGS-24BL071801,1073.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-06-2025,"Jasfer Industry Co., Limited",137,24BL071801,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",,38,
AUGCOGS-24JS122401,1074,A51001 - Freight - Out - Expense (New),981,,08-06-2025,"Jasfer Industry Co., Limited",137,24JS122401,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",39,,
