External ID,Customers,,Not Present,Email,Subsidiary
NEWCUST058,LaQuinta Inn Pharr TX,3365,#N/A,abc@granitivicentia.com,
NEWCUST059,LaQuinta McAllen,3366,#N/A,abc@granitivicentia.com,
NEWCUST060,LaQuinta/Hawthone - Knoxville TN - AMit,3367,#N/A,abc@granitivicentia.com,
NEWCUST061,"Las Vegas Resort Holdings, LLC",3368,#N/A,abc@granitivicentia.com,
NEWCUST062,"LQ Management, LLC C/o HSI Design Group",3369,#N/A,abc@granitivicentia.com,
NEWCUST063,Magnolia LXR Dallas TX -,3370,#N/A,abc@granitivicentia.com,
NEWCUST064,Microtel - Tracy Ca,3371,#N/A,abc@granitivicentia.com,
NEWCUST065,Milender-White,3372,#N/A,abc@granitivicentia.com,
NEWCUST066,New crest image Magnolia Dallas,3373,#N/A,abc@granitivicentia.com,
NEWCUST067,"Newcrest Management, LLC",3374,#N/A,abc@granitivicentia.com,
NEWCUST068,Northlake Innkeepers I Ltd.,3375,#N/A,abc@granitivicentia.com,
NEWCUST069,Padua Realty Company,3376,#N/A,abc@granitivicentia.com,
NEWCUST070,"Pitt-Cran Hospitality, LLC/ Wingate Cranberry",3377,#N/A,abc@granitivicentia.com,
NEWCUST071,Ramada Plaza Resort & Suites Orlando/ MIC Hotel Corp,#N/A,#N/A,abc@granitivicentia.com,
NEWCUST072,Red Roof Plus-Manassas,3379,#N/A,abc@granitivicentia.com,
NEWCUST073,"Residence Inn Indianapolis,IN",#N/A,#N/A,abc@granitivicentia.com,
NEWCUST074,"Ritzway Group, LLC / Crowne Plaza Galleria Area",3381,#N/A,abc@granitivicentia.com,
NEWCUST075,Sam Shah,3382,#N/A,abc@granitivicentia.com,
NEWCUST076,SAM SHAH / ISHA REALTY INC. -COMFORT INN - GALVESTON,3383,#N/A,abc@granitivicentia.com,
NEWCUST077,Sam Shah Residence,3384,#N/A,abc@granitivicentia.com,
NEWCUST078,SAPIEN STONE INC,3385,#N/A,abc@granitivicentia.com,
NEWCUST079,Sigma Marble Granite and Tile,3386,#N/A,abc@granitivicentia.com,
NEWCUST080,"SMD Contracting, Inc",3387,#N/A,abc@granitivicentia.com,
NEWCUST081,"Someshwar Motel LLC - Comfort Inn Ogallala, NE",3388,#N/A,abc@granitivicentia.com,
NEWCUST082,Stay Bridge - Manteca - CA - Aman Dhillon,3389,#N/A,abc@granitivicentia.com,
NEWCUST083,STONE EDGE COUNTERTTOPS,3390,#N/A,abc@granitivicentia.com,
NEWCUST084,"StonePeak Ceramics, INC.",3391,#N/A,abc@granitivicentia.com,
NEWCUST085,Sunray Group / Holiday Inn Burlington Hotel & Conference Centre CANADA,3392,#N/A,abc@granitivicentia.com,
NEWCUST086,SUPREME BRIGHT ATLANTIC CITY LLC (TRIBUTE SEAHAUS),3393,#N/A,abc@granitivicentia.com,
NEWCUST087,Supreme Bright Westlake I LLC,3394,#N/A,abc@granitivicentia.com,
NEWCUST088,The Eden,3395,#N/A,abc@granitivicentia.com,
NEWCUST089,The Place Port Aransas TX,3396,#N/A,abc@granitivicentia.com,
NEWCUST090,Two one two,3397,#N/A,abc@granitivicentia.com,
NEWCUST091,Watermark Commercial Contractors LLC,3398,#N/A,abc@granitivicentia.com,
NEWCUST092,"Weaver Cooke Construction, LLC>",3399,#N/A,abc@granitivicentia.com,
NEWCUST093,Wingate Owensboro_KY,3400,#N/A,abc@granitivicentia.com,
NEWCUST094,Wingate/ Hawthorne Kingman,3401,#N/A,abc@granitivicentia.com,
NEWCUST095,WYNDHAM D&C CONFERENCE BOOTH / WYNDHAM BRAND,3402,#N/A,abc@granitivicentia.com,
NEWCUST096,"WYNDHAM GARDEN INN- MANASSAS, VA",3403,#N/A,abc@granitivicentia.com,
NEWCUST097,Wyndham Trademark Fredericksburg,3404,#N/A,abc@granitivicentia.com,
