External ID,SL NO.,Debit Account#, Acc ID,Credit Account #,Date,Invoice #,Vendor,Vendor ID,Decription,Debit Amt,Credit Amt
CUSTOM-20250209,9,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,20250209,An Cuong Wood-Working,1542,"customs clearence, July 25 in SPS",387.99,
CUSTOM-20250209,9.5,,979,A50003 - Customs Clearance (New),07/31/2025,20250209,An Cuong Wood-Working,1542,"customs clearence, July 25 in SPS",,387.99
CUSTOM-20250180,10,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,20250180,An Cuong Wood-Working,1542,"customs clearence, July 25 in SPS",458.02,
CUSTOM-20250180,10.5,,979,A50003 - Customs Clearance (New),07/31/2025,20250180,An Cuong Wood-Working,1542,"customs clearence, July 25 in SPS",,458.02
CUSTOM-2025-FE-0000017,11,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,2025-FE-0000017,GIBAM SHOPS SPA,1253,"customs clearence, July 25 in SPS",12.00,
CUSTOM-2025-FE-0000017,11.5,,979,A50003 - Customs Clearance (New),07/31/2025,2025-FE-0000017,GIBAM SHOPS SPA,1253,"customs clearence, July 25 in SPS",,12.00
CUSTOM-22530968-E,12,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,22530968-E,Fama Sofas S.L.U,1248,"customs clearence, July 25 in SPS",236.00,
CUSTOM-22530968-E,12.5,,979,A50003 - Customs Clearance (New),07/31/2025,22530968-E,Fama Sofas S.L.U,1248,"customs clearence, July 25 in SPS",,236.00
CUSTOM-2025-FE-0000018,13,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,2025-FE-0000018,GIBAM SHOPS SPA,1253,"customs clearence, July 25 in SPS",12.00,
CUSTOM-2025-FE-0000018,13.5,,979,A50003 - Customs Clearance (New),07/31/2025,2025-FE-0000018,GIBAM SHOPS SPA,1253,"customs clearence, July 25 in SPS",,12.00
CUSTOM-INV-1277,14,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,INV-1277,SminkSt,1973,"customs clearence, July 25 in SPS",1002.97,
CUSTOM-INV-1277,14.5,,979,A50003 - Customs Clearance (New),07/31/2025,INV-1277,SminkSt,1973,"customs clearence, July 25 in SPS",,1002.97
CUSTOM-2025-FE-0000023,15,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,2025-FE-0000023,GIBAM SHOPS SPA,1253,"customs clearence, July 25 in SPS",13.00,
CUSTOM-2025-FE-0000023,15.5,,979,A50003 - Customs Clearance (New),07/31/2025,2025-FE-0000023,GIBAM SHOPS SPA,1253,"customs clearence, July 25 in SPS",,13.00
CUSTOM-20250179,16,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,20250179,An Cuong Wood-Working,1542,"customs clearence, July 25 in SPS",85.83,
CUSTOM-20250179,16.5,,979,A50003 - Customs Clearance (New),07/31/2025,20250179,An Cuong Wood-Working,1542,"customs clearence, July 25 in SPS",,85.83
CUSTOM-22532283-E,17,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,22532283-E,Fama Sofas S.L.U,1248,"customs clearence, July 25 in SPS",5378.85,
CUSTOM-22532283-E,17.5,,979,A50003 - Customs Clearance (New),07/31/2025,22532283-E,Fama Sofas S.L.U,1248,"customs clearence, July 25 in SPS",,5378.85
CUSTOM-GV2025008,18,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,GV2025008,"Cambodian Zulite Stone Co., Ltd.",1237,"customs clearence, July 25 in SPS",2513.94,
CUSTOM-GV2025008,18.5,,979,A50003 - Customs Clearance (New),07/31/2025,GV2025008,"Cambodian Zulite Stone Co., Ltd.",1237,"customs clearence, July 25 in SPS",,2513.94
CUSTOM-9,19,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,9,Pantarei S.R.L,1280,"customs clearence, July 25 in SPS",11.00,
CUSTOM-9,19.5,,979,A50003 - Customs Clearance (New),07/31/2025,9,Pantarei S.R.L,1280,"customs clearence, July 25 in SPS",,11.00
CUSTOM-2025-FE-0000031,20,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,2025-FE-0000031,GIBAM SHOPS SPA,1253,"customs clearence, July 25 in SPS",12.14,
CUSTOM-2025-FE-0000031,20.5,,979,A50003 - Customs Clearance (New),07/31/2025,2025-FE-0000031,GIBAM SHOPS SPA,1253,"customs clearence, July 25 in SPS",,12.14
CUSTOM-GV2024078,21,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,GV2024078,"Cambodian Zulite Stone Co., Ltd.",1237,"customs clearence, July 25 in SPS",72.15,
CUSTOM-GV2024078,21.5,,979,A50003 - Customs Clearance (New),07/31/2025,GV2024078,"Cambodian Zulite Stone Co., Ltd.",1237,"customs clearence, July 25 in SPS",,72.15
CUSTOM-GV2024100,22,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,GV2024100,"Cambodian Zulite Stone Co., Ltd.",1237,"customs clearence, July 25 in SPS",36.00,
CUSTOM-GV2024100,22.5,,979,A50003 - Customs Clearance (New),07/31/2025,GV2024100,"Cambodian Zulite Stone Co., Ltd.",1237,"customs clearence, July 25 in SPS",,36.00
CUSTOM-20250263,23,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,20250263,An Cuong Wood-Working,1542,"customs clearence, July 25 in SPS",43.15,
CUSTOM-20250263,23.5,,979,A50003 - Customs Clearance (New),07/31/2025,20250263,An Cuong Wood-Working,1542,"customs clearence, July 25 in SPS",,43.15
CUSTOM-20250275,24,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,20250275,An Cuong Wood-Working,1542,"customs clearence, July 25 in SPS",163.45,
CUSTOM-20250275,24.5,,979,A50003 - Customs Clearance (New),07/31/2025,20250275,An Cuong Wood-Working,1542,"customs clearence, July 25 in SPS",,163.45
CUSTOM-2025-FE-0000034,25,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,2025-FE-0000034,GIBAM SHOPS SPA,1253,"customs clearence, July 25 in SPS",11.00,
CUSTOM-2025-FE-0000034,25.5,,979,A50003 - Customs Clearance (New),07/31/2025,2025-FE-0000034,GIBAM SHOPS SPA,1253,"customs clearence, July 25 in SPS",,11.00
CUSTOM-2025-FE-0000032,26,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,2025-FE-0000032,GIBAM SHOPS SPA,1253,"customs clearence, July 25 in SPS",11.00,
CUSTOM-2025-FE-0000032,26.5,,979,A50003 - Customs Clearance (New),07/31/2025,2025-FE-0000032,GIBAM SHOPS SPA,1253,"customs clearence, July 25 in SPS",,11.00
CUSTOM-20250316,27,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,20250316,An Cuong Wood-Working,1542,"customs clearence, July 25 in SPS",137.73,
CUSTOM-20250316,27.5,,979,A50003 - Customs Clearance (New),07/31/2025,20250316,An Cuong Wood-Working,1542,"customs clearence, July 25 in SPS",,137.73
CUSTOM-GV2025003,28,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,GV2025003,"Cambodian Zulite Stone Co., Ltd.",1237,"customs clearence, July 25 in SPS",39.97,
CUSTOM-GV2025003,28.5,,979,A50003 - Customs Clearance (New),07/31/2025,GV2025003,"Cambodian Zulite Stone Co., Ltd.",1237,"customs clearence, July 25 in SPS",,39.97
CUSTOM-28,29,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,28,PIERMARIA NEW FORM SRL,1281,"customs clearence, July 25 in SPS",11.00,
CUSTOM-28,29.5,,979,A50003 - Customs Clearance (New),07/31/2025,28,PIERMARIA NEW FORM SRL,1281,"customs clearence, July 25 in SPS",,11.00
CUSTOM-GV2025002,30,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,GV2025002,"Cambodian Zulite Stone Co., Ltd.",1237,"customs clearence, July 25 in SPS",22.22,
CUSTOM-GV2025002,30.5,,979,A50003 - Customs Clearance (New),07/31/2025,GV2025002,"Cambodian Zulite Stone Co., Ltd.",1237,"customs clearence, July 25 in SPS",,22.22
CUSTOM-2025-FE-0000040,31,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,2025-FE-0000040,GIBAM SHOPS SPA,1253,"customs clearence, July 25 in SPS",11.00,
CUSTOM-2025-FE-0000040,31.5,,979,A50003 - Customs Clearance (New),07/31/2025,2025-FE-0000040,GIBAM SHOPS SPA,1253,"customs clearence, July 25 in SPS",,11.00
CUSTOM-2025-FE-0000041,32,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,2025-FE-0000041,GIBAM SHOPS SPA,1253,"customs clearence, July 25 in SPS",11.00,
CUSTOM-2025-FE-0000041,32.5,,979,A50003 - Customs Clearance (New),07/31/2025,2025-FE-0000041,GIBAM SHOPS SPA,1253,"customs clearence, July 25 in SPS",,11.00
CUSTOM-GV2025005,33,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,GV2025005,"Cambodian Zulite Stone Co., Ltd.",1237,"customs clearence, July 25 in SPS",37.00,
CUSTOM-GV2025005,33.5,,979,A50003 - Customs Clearance (New),07/31/2025,GV2025005,"Cambodian Zulite Stone Co., Ltd.",1237,"customs clearence, July 25 in SPS",,37.00
CUSTOM-7302/VE,34,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,7302/VE,MirageGranitoCeramico S.p.A,173,"customs clearence, July 25 in SPS",754.46,
CUSTOM-7302/VE,34.5,,979,A50003 - Customs Clearance (New),07/31/2025,7302/VE,MirageGranitoCeramico S.p.A,173,"customs clearence, July 25 in SPS",,754.46
CUSTOM-15341/VE,35,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,15341/VE,MirageGranitoCeramico S.p.A,173,"customs clearence, July 25 in SPS",3038.35,
CUSTOM-15341/VE,35.5,,979,A50003 - Customs Clearance (New),07/31/2025,15341/VE,MirageGranitoCeramico S.p.A,173,"customs clearence, July 25 in SPS",,3038.35
CUSTOM-15364/VE,36,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,15364/VE,MirageGranitoCeramico S.p.A,173,"customs clearence, July 25 in SPS",3039.00,
CUSTOM-15364/VE,36.5,,979,A50003 - Customs Clearance (New),07/31/2025,15364/VE,MirageGranitoCeramico S.p.A,173,"customs clearence, July 25 in SPS",,3039.00
CUSTOM-GV2024001,37,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,GV2024001,"Cambodian Zulite Stone Co., Ltd.",1237,"customs clearence, July 25 in SPS",6125.98,
CUSTOM-GV2024001,37.5,,979,A50003 - Customs Clearance (New),07/31/2025,GV2024001,"Cambodian Zulite Stone Co., Ltd.",1237,"customs clearence, July 25 in SPS",,6125.98
CUSTOM-22531839-E,38,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,22531839-E,Fama Sofas S.L.U,1248,"customs clearence, July 25 in SPS",145.35,
CUSTOM-22531839-E,38.5,,979,A50003 - Customs Clearance (New),07/31/2025,22531839-E,Fama Sofas S.L.U,1248,"customs clearence, July 25 in SPS",,145.35
CUSTOM-MMG/24-25/12,39,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,MMG/24-25/12,MASOMEX GLOBAL,1266,"customs clearence, July 25 in SPS",496.99,
CUSTOM-MMG/24-25/12,39.5,,979,A50003 - Customs Clearance (New),07/31/2025,MMG/24-25/12,MASOMEX GLOBAL,1266,"customs clearence, July 25 in SPS",,496.99
CUSTOM-20250213,40,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,20250213,An Cuong Wood-Working,1542,"customs clearence, July 25 in SPS",278.50,
CUSTOM-20250213,40.5,,979,A50003 - Customs Clearance (New),07/31/2025,20250213,An Cuong Wood-Working,1542,"customs clearence, July 25 in SPS",,278.50
CUSTOM-20250416,41,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,20250416,An Cuong Wood-Working,1542,"customs clearence, July 25 in SPS",5436.17,
CUSTOM-20250416,41.5,,979,A50003 - Customs Clearance (New),07/31/2025,20250416,An Cuong Wood-Working,1542,"customs clearence, July 25 in SPS",,5436.17
CUSTOM-GV2024100-Balance,42,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,GV2024100-Balance,"Cambodian Zulite Stone Co., Ltd.",1237,"customs clearence, July 25 in SPS",787.00,
CUSTOM-GV2024100-Balance,42.5,,979,A50003 - Customs Clearance (New),07/31/2025,GV2024100-Balance,"Cambodian Zulite Stone Co., Ltd.",1237,"customs clearence, July 25 in SPS",,787.00
CUSTOM-1297/VE,43,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,1297/VE,Atlas Concorde,1232,"customs clearence, July 25 in SPS",976.92,
CUSTOM-1297/VE,43.5,,979,A50003 - Customs Clearance (New),07/31/2025,1297/VE,Atlas Concorde,1232,"customs clearence, July 25 in SPS",,976.92
CUSTOM-9662/VE,44,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,9662/VE,Atlas Concorde,1232,"customs clearence, July 25 in SPS",977.00,
CUSTOM-9662/VE,44.5,,979,A50003 - Customs Clearance (New),07/31/2025,9662/VE,Atlas Concorde,1232,"customs clearence, July 25 in SPS",,977.00
CUSTOM-880,45,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,880,Oriental Weavers International Egypt,2326,"customs clearence, July 25 in SPS",5019.72,
CUSTOM-880,45.5,,979,A50003 - Customs Clearance (New),07/31/2025,880,Oriental Weavers International Egypt,2326,"customs clearence, July 25 in SPS",,5019.72
CUSTOM-7130/VE,46,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,7130/VE,MirageGranitoCeramico S.p.A,173,"customs clearence, July 25 in SPS",1907.68,
CUSTOM-7130/VE,46.5,,979,A50003 - Customs Clearance (New),07/31/2025,7130/VE,MirageGranitoCeramico S.p.A,173,"customs clearence, July 25 in SPS",,1907.68
CUSTOM-72500046,47,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,72500046,TMLeade,1957,"customs clearence, July 25 in SPS",30.00,
CUSTOM-72500046,47.5,,979,A50003 - Customs Clearance (New),07/31/2025,72500046,TMLeade,1957,"customs clearence, July 25 in SPS",,30.00
CUSTOM-GV2025007,48,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,GV2025007,"Cambodian Zulite Stone Co., Ltd.",1237,"customs clearence, July 25 in SPS",786.65,
CUSTOM-GV2025007,48.5,,979,A50003 - Customs Clearance (New),07/31/2025,GV2025007,"Cambodian Zulite Stone Co., Ltd.",1237,"customs clearence, July 25 in SPS",,786.65
CUSTOM-7266/VE,49,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,7266/VE,MirageGranitoCeramico S.p.A,173,"customs clearence, July 25 in SPS",2280.00,
CUSTOM-7266/VE,49.5,,979,A50003 - Customs Clearance (New),07/31/2025,7266/VE,MirageGranitoCeramico S.p.A,173,"customs clearence, July 25 in SPS",,2280.00
CUSTOM-GV2025003-Balance,50,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,GV2025003-Balance,"Cambodian Zulite Stone Co., Ltd.",1237,"customs clearence, July 25 in SPS",1572.00,
CUSTOM-GV2025003-Balance,50.5,,979,A50003 - Customs Clearance (New),07/31/2025,GV2025003-Balance,"Cambodian Zulite Stone Co., Ltd.",1237,"customs clearence, July 25 in SPS",,1572.00
CUSTOM-GTB2025000000209,51,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,GTB2025000000209,AGTAGAC,1958,"customs clearence, July 25 in SPS",1551.02,
CUSTOM-GTB2025000000209,51.5,,979,A50003 - Customs Clearance (New),07/31/2025,GTB2025000000209,AGTAGAC,1958,"customs clearence, July 25 in SPS",,1551.02
CUSTOM-INV-GV-01-02-25,52,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,INV-GV-01-02-25,AMY Building Material Investments,1331,"customs clearence, July 25 in SPS",6580.78,
CUSTOM-INV-GV-01-02-25,52.5,,979,A50003 - Customs Clearance (New),07/31/2025,INV-GV-01-02-25,AMY Building Material Investments,1331,"customs clearence, July 25 in SPS",,6580.78
CUSTOM-9197/VE,53,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,9197/VE,Atlas Concorde,1232,"customs clearence, July 25 in SPS",1008.00,
CUSTOM-9197/VE,53.5,,979,A50003 - Customs Clearance (New),07/31/2025,9197/VE,Atlas Concorde,1232,"customs clearence, July 25 in SPS",,1008.00
CUSTOM-16430/VE,54,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,16430/VE,Atlas Concorde,1232,"customs clearence, July 25 in SPS",7356.52,
CUSTOM-16430/VE,54.5,,979,A50003 - Customs Clearance (New),07/31/2025,16430/VE,Atlas Concorde,1232,"customs clearence, July 25 in SPS",,7356.52
CUSTOM-GV2025010,55,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,GV2025010,"Cambodian Zulite Stone Co., Ltd.",1237,"customs clearence, July 25 in SPS",786.00,
CUSTOM-GV2025010,55.5,,979,A50003 - Customs Clearance (New),07/31/2025,GV2025010,"Cambodian Zulite Stone Co., Ltd.",1237,"customs clearence, July 25 in SPS",,786.00
CUSTOM-12285/VE,56,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,12285/VE,Atlas Concorde,1232,"customs clearence, July 25 in SPS",2626.11,
CUSTOM-12285/VE,56.5,,979,A50003 - Customs Clearance (New),07/31/2025,12285/VE,Atlas Concorde,1232,"customs clearence, July 25 in SPS",,2626.11
CUSTOM-20698/VE,57,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,20698/VE,Atlas Concorde,1232,"customs clearence, July 25 in SPS",5640.08,
CUSTOM-20698/VE,57.5,,979,A50003 - Customs Clearance (New),07/31/2025,20698/VE,Atlas Concorde,1232,"customs clearence, July 25 in SPS",,5640.08
CUSTOM-GV2025009,58,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,GV2025009,"Cambodian Zulite Stone Co., Ltd.",1237,"customs clearence, July 25 in SPS",786.00,
CUSTOM-GV2025009,58.5,,979,A50003 - Customs Clearance (New),07/31/2025,GV2025009,"Cambodian Zulite Stone Co., Ltd.",1237,"customs clearence, July 25 in SPS",,786.00
CUSTOM-19718/VE,59,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,19718/VE,Atlas Concorde,1232,"customs clearence, July 25 in SPS",3765.90,
CUSTOM-19718/VE,59.5,,979,A50003 - Customs Clearance (New),07/31/2025,19718/VE,Atlas Concorde,1232,"customs clearence, July 25 in SPS",,3765.90
CUSTOM-19839/VE,60,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,19839/VE,Atlas Concorde,1232,"customs clearence, July 25 in SPS",3765.00,
CUSTOM-19839/VE,60.5,,979,A50003 - Customs Clearance (New),07/31/2025,19839/VE,Atlas Concorde,1232,"customs clearence, July 25 in SPS",,3765.00
CUSTOM-19814/VE,61,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,19814/VE,Atlas Concorde,1232,"customs clearence, July 25 in SPS",3765.00,
CUSTOM-19814/VE,61.5,,979,A50003 - Customs Clearance (New),07/31/2025,19814/VE,Atlas Concorde,1232,"customs clearence, July 25 in SPS",,3765.00
CUSTOM-10039/VE,62,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,10039/VE,Atlas Concorde,1232,"customs clearence, July 25 in SPS",1927.05,
CUSTOM-10039/VE,62.5,,979,A50003 - Customs Clearance (New),07/31/2025,10039/VE,Atlas Concorde,1232,"customs clearence, July 25 in SPS",,1927.05
CUSTOM-GV2025011,63,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,GV2025011,"Cambodian Zulite Stone Co., Ltd.",1237,"customs clearence, July 25 in SPS",786.00,
CUSTOM-GV2025011,63.5,,979,A50003 - Customs Clearance (New),07/31/2025,GV2025011,"Cambodian Zulite Stone Co., Ltd.",1237,"customs clearence, July 25 in SPS",,786.00
